rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.006214086214701,11.214966272,1.5576941967010498,4.747860980375087
16,32,3686400,4.121378326416016,10.614776832,1.5160834789276123,4.554353000077306
64,128,14745600,3.953525173664093,11.999148032,1.4768110513687134,4.378959115873907
